Italy , Exposure to risk (period 1x5), 	Last modified: 09 May 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1872-1874        0           1237498.20      1298406.61      2535904.81
1872-1874        1            978028.66      1008733.50      1986762.16
1872-1874        2            839332.98       864056.77      1703389.75
1872-1874        3            801944.05       828278.77      1630222.83
1872-1874        4            832954.87       859687.89      1692642.76
1872-1874        5            858661.56       883595.92      1742257.48
1872-1874        6            859282.13       884258.53      1743540.66
1872-1874        7            865113.95       887621.34      1752735.29
1872-1874        8            867061.26       888386.65      1755447.91
1872-1874        9            847039.26       867877.59      1714916.85
1872-1874       10            829820.27       847958.27      1677778.54
1872-1874       11            801604.84       819232.54      1620837.38
1872-1874       12            792495.50       814081.90      1606577.40
1872-1874       13            786385.66       814167.90      1600553.56
1872-1874       14            778299.95       806429.64      1584729.59
1872-1874       15            771996.62       789379.27      1561375.88
1872-1874       16            759584.77       760238.12      1519822.89
1872-1874       17            746271.94       729844.44      1476116.38
1872-1874       18            741934.69       707038.27      1448972.96
1872-1874       19            730715.89       685182.86      1415898.75
1872-1874       20            738964.13       683343.51      1422307.64
1872-1874       21            730058.02       698862.37      1428920.39
1872-1874       22            708256.17       710204.37      1418460.54
1872-1874       23            682265.09       700955.89      1383220.98
1872-1874       24            663862.70       667219.04      1331081.73
1872-1874       25            671414.40       641949.82      1313364.21
1872-1874       26            671683.65       635272.50      1306956.15
1872-1874       27            657309.33       632307.67      1289617.00
1872-1874       28            640041.34       628989.30      1269030.64
1872-1874       29            600836.36       598398.18      1199234.53
1872-1874       30            628607.40       608153.82      1236761.22
1872-1874       31            640457.05       614712.92      1255169.97
1872-1874       32            609981.17       596601.85      1206583.02
1872-1874       33            549708.16       556892.71      1106600.86
1872-1874       34            502780.18       521270.23      1024050.41
1872-1874       35            523813.84       528262.73      1052076.57
1872-1874       36            541937.86       537122.54      1079060.41
1872-1874       37            533490.44       529641.85      1063132.29
1872-1874       38            504130.15       508587.81      1012717.96
1872-1874       39            455559.52       467233.70       922793.22
1872-1874       40            517344.05       513014.42      1030358.47
1872-1874       41            569311.67       556639.64      1125951.31
1872-1874       42            548976.08       545067.84      1094043.92
1872-1874       43            467367.45       479791.77       947159.22
1872-1874       44            399975.73       418846.23       818821.95
1872-1874       45            426152.91       434251.76       860404.67
1872-1874       46            444027.85       447273.55       891301.40
1872-1874       47            432323.22       437638.15       869961.37
1872-1874       48            402985.88       411865.93       814851.81
1872-1874       49            368798.31       380200.79       748999.09
1872-1874       50            439317.27       438532.32       877849.59
1872-1874       51            490815.52       485427.49       976243.01
1872-1874       52            465409.49       470251.88       935661.36
1872-1874       53            377595.87       397588.59       775184.46
1872-1874       54            303101.53       327282.32       630383.85
1872-1874       55            302837.07       314977.86       617814.93
1872-1874       56            300053.69       305583.81       605637.50
1872-1874       57            282498.27       289954.57       572452.84
1872-1874       58            256571.61       268935.28       525506.88
1872-1874       59            228229.88       242416.28       470646.16
1872-1874       60            290115.74       286170.72       576286.46
1872-1874       61            341392.15       326053.28       667445.42
1872-1874       62            321650.03       314557.99       636208.02
1872-1874       63            248720.53       259288.22       508008.75
1872-1874       64            188785.47       208824.83       397610.29
1872-1874       65            194640.92       207038.08       401679.00
1872-1874       66            194749.94       203081.55       397831.49
1872-1874       67            179047.67       189578.91       368626.58
1872-1874       68            152416.23       166274.16       318690.39
1872-1874       69            125690.74       139683.36       265374.10
1872-1874       70            145218.70       148145.15       293363.85
1872-1874       71            162998.90       159244.98       322243.89
1872-1874       72            150873.40       151069.72       301943.12
1872-1874       73            110815.79       119365.22       230181.01
1872-1874       74             72309.01        85123.32       157432.33
1872-1874       75             65472.27        74630.25       140102.52
1872-1874       76             62450.97        69139.67       131590.64
1872-1874       77             55864.56        62052.67       117917.23
1872-1874       78             45770.36        52194.10        97964.46
1872-1874       79             36050.58        42138.30        78188.88
1872-1874       80             42030.37        43142.46        85172.83
1872-1874       81             34734.62        36033.55        70768.17
1872-1874       82             28336.47        29751.17        58087.64
1872-1874       83             22945.60        24343.29        47288.88
1872-1874       84             18368.68        19697.57        38066.25
1872-1874       85             14460.70        15714.90        30175.61
1872-1874       86             11173.91        12339.47        23513.37
1872-1874       87              8458.19         9527.08        17985.27
1872-1874       88              6275.17         7234.32        13509.50
1872-1874       89              4574.29         5406.26         9980.55
1872-1874       90              3277.92         3976.73         7254.65
1872-1874       91              2307.74         2876.96         5184.70
1872-1874       92              1595.93         2043.06         3638.99
1872-1874       93              1085.91         1423.86         2509.77
1872-1874       94               724.43          975.30         1699.73
1872-1874       95               470.36          655.78         1126.14
1872-1874       96               297.73          432.28          730.00
1872-1874       97               183.56          279.25          462.81
1872-1874       98               110.27          177.20          287.47
1872-1874       99                65.04          110.39          175.42
1872-1874      100                37.24           66.84          104.08
1872-1874      101                20.42           38.85           59.27
1872-1874      102                10.73           21.33           32.06
1872-1874      103                 5.49           10.97           16.46
1872-1874      104                 2.63            5.09            7.73
1872-1874      105                 0.97            1.80            2.77
1872-1874      106                 0.25            0.36            0.61
1872-1874      107                 0.00            0.04            0.04
1872-1874      108                 0.26            0.00            0.26
1872-1874      109                 0.76            0.00            0.76
1872-1874      110+                1.99            0.00            1.99
1875-1879        0           2208984.44      2318606.67      4527591.11
1875-1879        1           1882686.25      1948745.59      3831431.83
1875-1879        2           1730684.11      1791776.20      3522460.30
